# phi  e_band1  e_band2  e_band3  e_band4
6.160601901986988427e-01 -7.190914566327666346e-02 -4.813416542116696895e-02 4.965172004561581309e-02 6.991069735552131459e-02
6.192033544344064389e-01 -7.196266650239777074e-02 -4.807640323552093281e-02 4.959238388892197452e-02 6.996344915263050246e-02
6.223465186701140350e-01 -7.201616638458081809e-02 -4.801863230308670710e-02 4.953303766202085678e-02 7.001618304299384032e-02
6.254896829058217422e-01 -7.206964526859990783e-02 -4.796085263986712283e-02 4.947368138361123158e-02 7.006889899247990827e-02
6.286328471415293384e-01 -7.212310311312579436e-02 -4.790306426184100935e-02 4.941431507236272724e-02 7.012159696687553234e-02
6.317760113772370456e-01 -7.217653987672531524e-02 -4.784526718496329850e-02 4.935493874691589816e-02 7.017427693188554860e-02
6.349191756129446418e-01 -7.222995551786118296e-02 -4.778746142516511475e-02 4.929555242588236352e-02 7.022693885313241458e-02
6.380623398486523490e-01 -7.228334999489140211e-02 -4.772964699835381686e-02 4.923615612784479345e-02 7.027958269615600106e-02
6.412055040843599452e-01 -7.233672326606907510e-02 -4.767182392041306727e-02 4.917674987135711717e-02 7.033220842641324522e-02
6.443486683200676524e-01 -7.239007528954184700e-02 -4.761399220720289455e-02 4.911733367494446750e-02 7.038481600927788684e-02
6.474918325557752485e-01 -7.244340602335164192e-02 -4.755615187455974197e-02 4.905790755710336126e-02 7.043740541004014921e-02
6.506349967914829557e-01 -7.249671542543410785e-02 -4.749830293829661321e-02 4.899847153630175478e-02 7.048997659390643378e-02
6.537781610271905519e-01 -7.255000345361843628e-02 -4.744044541420305156e-02 4.893902563097912717e-02 7.054252952599907034e-02
6.569213252628982591e-01 -7.260327006562680707e-02 -4.738257931804520234e-02 4.887956985954652889e-02 7.059506417135590073e-02
6.600644894986058553e-01 -7.265651521907394439e-02 -4.732470466556595173e-02 4.882010424038670665e-02 7.064758049493012615e-02
6.632076537343134515e-01 -7.270973887146693626e-02 -4.726682147248491284e-02 4.876062879185415894e-02 7.070007846158990472e-02
6.663508179700211587e-01 -7.276294098020461010e-02 -4.720892975449857837e-02 4.870114353227524007e-02 7.075255803611804617e-02
6.694939822057287548e-01 -7.281612150257722738e-02 -4.715102952728029290e-02 4.864164847994819491e-02 7.080501918321173427e-02
6.726371464414364620e-01 -7.286928039576602567e-02 -4.709312080648034998e-02 4.858214365314329763e-02 7.085746186748220765e-02
6.757803106771440582e-01 -7.292241761684292722e-02 -4.703520360772608239e-02 4.852262907010286563e-02 7.090988605345446838e-02
6.789234749128517654e-01 -7.297553312276994220e-02 -4.697727794662191758e-02 4.846310474904141213e-02 7.096229170556692112e-02
6.820666391485593616e-01 -7.302862687039886336e-02 -4.691934383874937775e-02 4.840357070814565316e-02 7.101467878817110946e-02
6.852098033842670688e-01 -7.308169881647091914e-02 -4.686140129966726020e-02 4.834402696557466017e-02 7.106704726553138285e-02
6.883529676199746650e-01 -7.313474891761617691e-02 -4.680345034491158879e-02 4.828447353945985315e-02 7.111939710182453578e-02
6.914961318556823722e-01 -7.318777713035327925e-02 -4.674549098999575270e-02 4.822491044790514630e-02 7.117172826113961348e-02
6.946392960913899683e-01 -7.324078341108895829e-02 -4.668752325041052031e-02 4.816533770898701050e-02 7.122404070747742622e-02
6.977824603270975645e-01 -7.329376771611759156e-02 -4.662954714162412251e-02 4.810575534075454268e-02 7.127633440475039661e-02
7.009256245628052717e-01 -7.334673000162081347e-02 -4.657156267908234976e-02 4.804616336122952830e-02 7.132860931678208782e-02
