Dv	E1	E2	E3	E4	E5	E6	E7	E8
9.849849849849849279e-03	-5.565854202573892323e-02	-5.369097526824791189e-02	6.471557109712575140e-02	6.633651102482275574e-02	-6.633651102482275574e-02	-6.471557109712575140e-02	5.369097526824791189e-02	5.565854202573892323e-02
1.005505505505505451e-02	-5.554477921962972659e-02	-5.357370329896507521e-02	6.482766501908433787e-02	6.644489051756662101e-02	-6.644489051756662101e-02	-6.482766501908433787e-02	5.357370329896507521e-02	5.554477921962972659e-02
1.026026026026025974e-02	-5.543097008032697032e-02	-5.345638704240184697e-02	6.493969520142112151e-02	6.655320409089356126e-02	-6.655320409089356126e-02	-6.493969520142112151e-02	5.345638704240184697e-02	5.543097008032697032e-02
1.046546546546546497e-02	-5.531711477291335888e-02	-5.333902666216259331e-02	6.505166140256295193e-02	6.666145150219512927e-02	-6.666145150219512927e-02	-6.505166140256295193e-02	5.333902666216259331e-02	5.531711477291335888e-02
1.067067067067067020e-02	-5.520321346189221295e-02	-5.322162232129168391e-02	6.516356337987160019e-02	6.676963250781396686e-02	-6.676963250781396686e-02	-6.516356337987160019e-02	5.322162232129168391e-02	5.520321346189221295e-02
1.087587587587587543e-02	-5.508926631119207690e-02	-5.310417418226751757e-02	6.527540088962335840e-02	6.687774686301757587e-02	-6.687774686301757587e-02	-6.527540088962335840e-02	5.310417418226751757e-02	5.508926631119207690e-02
1.108108108108108066e-02	-5.497527348424469107e-02	-5.298668240700113441e-02	6.538717368702212651e-02	6.698579432200367501e-02	-6.698579432200367501e-02	-6.538717368702212651e-02	5.298668240700113441e-02	5.497527348424469107e-02
1.128628628628628588e-02	-5.486123514381255339e-02	-5.286914715685303578e-02	6.549888152616688275e-02	6.709377463789834017e-02	-6.709377463789834017e-02	-6.549888152616688275e-02	5.286914715685303578e-02	5.486123514381255339e-02
1.149149149149149111e-02	-5.474715145218104345e-02	-5.275156859262212367e-02	6.561052416006211974e-02	6.720168756273030286e-02	-6.720168756273030286e-02	-6.561052416006211974e-02	5.275156859262212367e-02	5.474715145218104345e-02
1.169669669669669634e-02	-5.463302257105672605e-02	-5.263394687456192378e-02	6.572210134059719433e-02	6.730953284744176091e-02	-6.730953284744176091e-02	-6.572210134059719433e-02	5.263394687456192378e-02	5.463302257105672605e-02
1.190190190190190157e-02	-5.451884866160268406e-02	-5.251628216237183566e-02	6.583361281855940050e-02	6.741731024186642385e-02	-6.741731024186642385e-02	-6.583361281855940050e-02	5.251628216237183566e-02	5.451884866160268406e-02
1.210710710710710680e-02	-5.440462988442920644e-02	-5.239857461521201659e-02	6.594505834359920549e-02	6.752501949474117027e-02	-6.752501949474117027e-02	-6.594505834359920549e-02	5.239857461521201659e-02	5.440462988442920644e-02
1.231231231231231203e-02	-5.429036639960843624e-02	-5.228082439169501328e-02	6.605643766424328100e-02	6.763266035367652973e-02	-6.763266035367652973e-02	-6.605643766424328100e-02	5.228082439169501328e-02	5.429036639960843624e-02
1.251751751751751726e-02	-5.417605836666693903e-02	-5.216303164990061803e-02	6.616775052787667033e-02	6.774023256516058245e-02	-6.774023256516058245e-02	-6.616775052787667033e-02	5.216303164990061803e-02	5.417605836666693903e-02
