# phi  e_band1  e_band2  e_band3  e_band4
4.746177995918546832e-01 -6.751887107569784496e-02 -5.231111539866575844e-02 5.072414657139844019e-02 6.947966652474929505e-02
4.777609638275623349e-01 -6.757239462140815500e-02 -5.225225224374372562e-02 5.066679495601515010e-02 6.953408936329845413e-02
4.809041280632699866e-01 -6.762590171617302581e-02 -5.219337814560739280e-02 5.060943384779564153e-02 6.958849299890024209e-02
4.840472922989776383e-01 -6.767939232925734849e-02 -5.213449312435736865e-02 5.055206326389345001e-02 6.964287739461365312e-02
4.871904565346852900e-01 -6.773286642985615336e-02 -5.207559720006114251e-02 5.049468322143497306e-02 6.969724251340982113e-02
4.903336207703929417e-01 -6.778632398709438789e-02 -5.201669039275314682e-02 5.043729373751945633e-02 6.975158831817175609e-02
4.934767850061005934e-01 -6.783976497002665307e-02 -5.195777272243478490e-02 5.037989482921911150e-02 6.980591477169387216e-02
4.966199492418081896e-01 -6.789318934763691193e-02 -5.189884420907459051e-02 5.032248651357920655e-02 6.986022183668187668e-02
4.997631134775158412e-01 -6.794659708883846183e-02 -5.183990487260833890e-02 5.026506880761812124e-02 6.991450947575229835e-02
5.029062777132234929e-01 -6.799998816247332378e-02 -5.178095473293906764e-02 5.020764172832741651e-02 6.996877765143223737e-02
5.060494419489312001e-01 -6.805336253731236740e-02 -5.172199380993722923e-02 5.015020529267193161e-02 7.002302632615901856e-02
5.091926061846387963e-01 -6.810672018205485290e-02 -5.166302212344074662e-02 5.009275951758986739e-02 7.007725546227988600e-02
5.123357704203463925e-01 -6.816006106532822295e-02 -5.160403969325517981e-02 5.003530441999280709e-02 7.013146502205169774e-02
5.154789346560540997e-01 -6.821338515568789451e-02 -5.154504653915373269e-02 4.997784001676585514e-02 7.018565496764053724e-02
5.186220988917616959e-01 -6.826669242161692575e-02 -5.148604268087739882e-02 4.992036632476767183e-02 7.023982526112147740e-02
5.217652631274694031e-01 -6.831998283152590501e-02 -5.142702813813498919e-02 4.986288336083055661e-02 7.029397586447815038e-02
5.249084273631769992e-01 -6.837325635375254840e-02 -5.136800293060338196e-02 4.980539114176053828e-02 7.034810673960251171e-02
5.280515915988847064e-01 -6.842651295656156096e-02 -5.130896707792739764e-02 4.974788968433743047e-02 7.040221784829447937e-02
5.311947558345923026e-01 -6.847975260814426202e-02 -5.124992059972004882e-02 4.969037900531492191e-02 7.045630915226153146e-02
5.343379200703000098e-01 -6.853297527661857125e-02 -5.119086351556262349e-02 4.963285912142061801e-02 7.051038061311852567e-02
5.374810843060076060e-01 -6.858618093002839811e-02 -5.113179584500463642e-02 4.957533004935615190e-02 7.056443219238721365e-02
5.406242485417153132e-01 -6.863936953634371119e-02 -5.107271760756415535e-02 4.951779180579724687e-02 7.061846385149596339e-02
5.437674127774229094e-01 -6.869254106346003863e-02 -5.101362882272763438e-02 4.946024440739376499e-02 7.067247555177945395e-02
5.469105770131306166e-01 -6.874569547919841261e-02 -5.095452950995018465e-02 4.940268787076980417e-02 7.072646725447828686e-02
5.500537412488382127e-01 -6.879883275130496689e-02 -5.089541968865562288e-02 4.934512221252379538e-02 7.078043892073865306e-02
5.531969054845458089e-01 -6.885195284745070088e-02 -5.083629937823651995e-02 4.928754744922848874e-02 7.083439051161202760e-02
5.563400697202535161e-01 -6.890505573523128535e-02 -5.077716859805432581e-02 4.922996359743113393e-02 7.088832198805478102e-02
5.594832339559611123e-01 -6.895814138216671552e-02 -5.071802736743946660e-02 4.917237067365344549e-02 7.094223331092786022e-02
5.626263981916688195e-01 -6.901120975570108895e-02 -5.065887570569140019e-02 4.911476869439177634e-02 7.099612444099639985e-02
5.657695624273764157e-01 -6.906426082320234194e-02 -5.059971363207871331e-02 4.905715767611713851e-02 7.104999533892948638e-02
